race_id,date,track,race_no,official_url,cache_html_path
20220708_kawasaki_9,2022-07-08,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F07%2F08&k_raceNo=9&k_babaCode=21,data/cache/html/20220708_kawasaki_9.html
20220708_kawasaki_10,2022-07-08,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F07%2F08&k_raceNo=10&k_babaCode=21,data/cache/html/20220708_kawasaki_10.html
20220708_kawasaki_11,2022-07-08,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F07%2F08&k_raceNo=11&k_babaCode=21,data/cache/html/20220708_kawasaki_11.html
20220708_kawasaki_12,2022-07-08,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F07%2F08&k_raceNo=12&k_babaCode=21,data/cache/html/20220708_kawasaki_12.html
20220613_kawasaki_1,2022-06-13,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=1&k_babaCode=21,data/cache/html/20220613_kawasaki_1.html
20220613_kawasaki_2,2022-06-13,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=2&k_babaCode=21,data/cache/html/20220613_kawasaki_2.html
20220613_kawasaki_3,2022-06-13,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=3&k_babaCode=21,data/cache/html/20220613_kawasaki_3.html
20220613_kawasaki_4,2022-06-13,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=4&k_babaCode=21,data/cache/html/20220613_kawasaki_4.html
20220613_kawasaki_5,2022-06-13,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=5&k_babaCode=21,data/cache/html/20220613_kawasaki_5.html
20220613_kawasaki_6,2022-06-13,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=6&k_babaCode=21,data/cache/html/20220613_kawasaki_6.html
20220613_kawasaki_7,2022-06-13,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=7&k_babaCode=21,data/cache/html/20220613_kawasaki_7.html
20220613_kawasaki_8,2022-06-13,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=8&k_babaCode=21,data/cache/html/20220613_kawasaki_8.html
20220613_kawasaki_9,2022-06-13,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=9&k_babaCode=21,data/cache/html/20220613_kawasaki_9.html
20220613_kawasaki_10,2022-06-13,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=10&k_babaCode=21,data/cache/html/20220613_kawasaki_10.html
20220613_kawasaki_11,2022-06-13,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=11&k_babaCode=21,data/cache/html/20220613_kawasaki_11.html
20220613_kawasaki_12,2022-06-13,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F13&k_raceNo=12&k_babaCode=21,data/cache/html/20220613_kawasaki_12.html
20220614_kawasaki_1,2022-06-14,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=1&k_babaCode=21,data/cache/html/20220614_kawasaki_1.html
20220614_kawasaki_2,2022-06-14,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=2&k_babaCode=21,data/cache/html/20220614_kawasaki_2.html
20220614_kawasaki_3,2022-06-14,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=3&k_babaCode=21,data/cache/html/20220614_kawasaki_3.html
20220614_kawasaki_4,2022-06-14,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=4&k_babaCode=21,data/cache/html/20220614_kawasaki_4.html
20220614_kawasaki_5,2022-06-14,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=5&k_babaCode=21,data/cache/html/20220614_kawasaki_5.html
20220614_kawasaki_6,2022-06-14,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=6&k_babaCode=21,data/cache/html/20220614_kawasaki_6.html
20220614_kawasaki_7,2022-06-14,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=7&k_babaCode=21,data/cache/html/20220614_kawasaki_7.html
20220614_kawasaki_8,2022-06-14,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=8&k_babaCode=21,data/cache/html/20220614_kawasaki_8.html
20220614_kawasaki_9,2022-06-14,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=9&k_babaCode=21,data/cache/html/20220614_kawasaki_9.html
20220614_kawasaki_10,2022-06-14,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=10&k_babaCode=21,data/cache/html/20220614_kawasaki_10.html
20220614_kawasaki_11,2022-06-14,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=11&k_babaCode=21,data/cache/html/20220614_kawasaki_11.html
20220614_kawasaki_12,2022-06-14,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F14&k_raceNo=12&k_babaCode=21,data/cache/html/20220614_kawasaki_12.html
20220615_kawasaki_1,2022-06-15,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=1&k_babaCode=21,data/cache/html/20220615_kawasaki_1.html
20220615_kawasaki_2,2022-06-15,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=2&k_babaCode=21,data/cache/html/20220615_kawasaki_2.html
20220615_kawasaki_3,2022-06-15,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=3&k_babaCode=21,data/cache/html/20220615_kawasaki_3.html
20220615_kawasaki_4,2022-06-15,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=4&k_babaCode=21,data/cache/html/20220615_kawasaki_4.html
20220615_kawasaki_5,2022-06-15,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=5&k_babaCode=21,data/cache/html/20220615_kawasaki_5.html
20220615_kawasaki_6,2022-06-15,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=6&k_babaCode=21,data/cache/html/20220615_kawasaki_6.html
20220615_kawasaki_7,2022-06-15,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=7&k_babaCode=21,data/cache/html/20220615_kawasaki_7.html
20220615_kawasaki_8,2022-06-15,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=8&k_babaCode=21,data/cache/html/20220615_kawasaki_8.html
20220615_kawasaki_9,2022-06-15,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=9&k_babaCode=21,data/cache/html/20220615_kawasaki_9.html
20220615_kawasaki_10,2022-06-15,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=10&k_babaCode=21,data/cache/html/20220615_kawasaki_10.html
20220615_kawasaki_11,2022-06-15,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=11&k_babaCode=21,data/cache/html/20220615_kawasaki_11.html
20220615_kawasaki_12,2022-06-15,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F15&k_raceNo=12&k_babaCode=21,data/cache/html/20220615_kawasaki_12.html
20220616_kawasaki_1,2022-06-16,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=1&k_babaCode=21,data/cache/html/20220616_kawasaki_1.html
20220616_kawasaki_2,2022-06-16,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=2&k_babaCode=21,data/cache/html/20220616_kawasaki_2.html
20220616_kawasaki_3,2022-06-16,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=3&k_babaCode=21,data/cache/html/20220616_kawasaki_3.html
20220616_kawasaki_4,2022-06-16,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=4&k_babaCode=21,data/cache/html/20220616_kawasaki_4.html
20220616_kawasaki_5,2022-06-16,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=5&k_babaCode=21,data/cache/html/20220616_kawasaki_5.html
20220616_kawasaki_6,2022-06-16,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=6&k_babaCode=21,data/cache/html/20220616_kawasaki_6.html
20220616_kawasaki_7,2022-06-16,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=7&k_babaCode=21,data/cache/html/20220616_kawasaki_7.html
20220616_kawasaki_8,2022-06-16,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=8&k_babaCode=21,data/cache/html/20220616_kawasaki_8.html
20220616_kawasaki_9,2022-06-16,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=9&k_babaCode=21,data/cache/html/20220616_kawasaki_9.html
20220616_kawasaki_10,2022-06-16,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=10&k_babaCode=21,data/cache/html/20220616_kawasaki_10.html
20220616_kawasaki_11,2022-06-16,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=11&k_babaCode=21,data/cache/html/20220616_kawasaki_11.html
20220616_kawasaki_12,2022-06-16,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F16&k_raceNo=12&k_babaCode=21,data/cache/html/20220616_kawasaki_12.html
20220617_kawasaki_1,2022-06-17,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=1&k_babaCode=21,data/cache/html/20220617_kawasaki_1.html
20220617_kawasaki_2,2022-06-17,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=2&k_babaCode=21,data/cache/html/20220617_kawasaki_2.html
20220617_kawasaki_3,2022-06-17,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=3&k_babaCode=21,data/cache/html/20220617_kawasaki_3.html
20220617_kawasaki_4,2022-06-17,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=4&k_babaCode=21,data/cache/html/20220617_kawasaki_4.html
20220617_kawasaki_5,2022-06-17,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=5&k_babaCode=21,data/cache/html/20220617_kawasaki_5.html
20220617_kawasaki_6,2022-06-17,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=6&k_babaCode=21,data/cache/html/20220617_kawasaki_6.html
20220617_kawasaki_7,2022-06-17,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=7&k_babaCode=21,data/cache/html/20220617_kawasaki_7.html
20220617_kawasaki_8,2022-06-17,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=8&k_babaCode=21,data/cache/html/20220617_kawasaki_8.html
20220617_kawasaki_9,2022-06-17,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=9&k_babaCode=21,data/cache/html/20220617_kawasaki_9.html
20220617_kawasaki_10,2022-06-17,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=10&k_babaCode=21,data/cache/html/20220617_kawasaki_10.html
20220617_kawasaki_11,2022-06-17,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=11&k_babaCode=21,data/cache/html/20220617_kawasaki_11.html
20220617_kawasaki_12,2022-06-17,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F06%2F17&k_raceNo=12&k_babaCode=21,data/cache/html/20220617_kawasaki_12.html
20220516_kawasaki_1,2022-05-16,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=1&k_babaCode=21,data/cache/html/20220516_kawasaki_1.html
20220516_kawasaki_2,2022-05-16,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=2&k_babaCode=21,data/cache/html/20220516_kawasaki_2.html
20220516_kawasaki_3,2022-05-16,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=3&k_babaCode=21,data/cache/html/20220516_kawasaki_3.html
20220516_kawasaki_4,2022-05-16,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=4&k_babaCode=21,data/cache/html/20220516_kawasaki_4.html
20220516_kawasaki_5,2022-05-16,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=5&k_babaCode=21,data/cache/html/20220516_kawasaki_5.html
20220516_kawasaki_6,2022-05-16,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=6&k_babaCode=21,data/cache/html/20220516_kawasaki_6.html
20220516_kawasaki_7,2022-05-16,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=7&k_babaCode=21,data/cache/html/20220516_kawasaki_7.html
20220516_kawasaki_8,2022-05-16,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=8&k_babaCode=21,data/cache/html/20220516_kawasaki_8.html
20220516_kawasaki_9,2022-05-16,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=9&k_babaCode=21,data/cache/html/20220516_kawasaki_9.html
20220516_kawasaki_10,2022-05-16,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=10&k_babaCode=21,data/cache/html/20220516_kawasaki_10.html
20220516_kawasaki_11,2022-05-16,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=11&k_babaCode=21,data/cache/html/20220516_kawasaki_11.html
20220516_kawasaki_12,2022-05-16,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F16&k_raceNo=12&k_babaCode=21,data/cache/html/20220516_kawasaki_12.html
20220517_kawasaki_1,2022-05-17,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=1&k_babaCode=21,data/cache/html/20220517_kawasaki_1.html
20220517_kawasaki_2,2022-05-17,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=2&k_babaCode=21,data/cache/html/20220517_kawasaki_2.html
20220517_kawasaki_3,2022-05-17,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=3&k_babaCode=21,data/cache/html/20220517_kawasaki_3.html
20220517_kawasaki_4,2022-05-17,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=4&k_babaCode=21,data/cache/html/20220517_kawasaki_4.html
20220517_kawasaki_5,2022-05-17,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=5&k_babaCode=21,data/cache/html/20220517_kawasaki_5.html
20220517_kawasaki_6,2022-05-17,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=6&k_babaCode=21,data/cache/html/20220517_kawasaki_6.html
20220517_kawasaki_7,2022-05-17,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=7&k_babaCode=21,data/cache/html/20220517_kawasaki_7.html
20220517_kawasaki_8,2022-05-17,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=8&k_babaCode=21,data/cache/html/20220517_kawasaki_8.html
20220517_kawasaki_9,2022-05-17,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=9&k_babaCode=21,data/cache/html/20220517_kawasaki_9.html
20220517_kawasaki_10,2022-05-17,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=10&k_babaCode=21,data/cache/html/20220517_kawasaki_10.html
20220517_kawasaki_11,2022-05-17,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=11&k_babaCode=21,data/cache/html/20220517_kawasaki_11.html
20220517_kawasaki_12,2022-05-17,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F17&k_raceNo=12&k_babaCode=21,data/cache/html/20220517_kawasaki_12.html
20220518_kawasaki_1,2022-05-18,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=1&k_babaCode=21,data/cache/html/20220518_kawasaki_1.html
20220518_kawasaki_2,2022-05-18,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=2&k_babaCode=21,data/cache/html/20220518_kawasaki_2.html
20220518_kawasaki_3,2022-05-18,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=3&k_babaCode=21,data/cache/html/20220518_kawasaki_3.html
20220518_kawasaki_4,2022-05-18,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=4&k_babaCode=21,data/cache/html/20220518_kawasaki_4.html
20220518_kawasaki_5,2022-05-18,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=5&k_babaCode=21,data/cache/html/20220518_kawasaki_5.html
20220518_kawasaki_6,2022-05-18,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=6&k_babaCode=21,data/cache/html/20220518_kawasaki_6.html
20220518_kawasaki_7,2022-05-18,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=7&k_babaCode=21,data/cache/html/20220518_kawasaki_7.html
20220518_kawasaki_8,2022-05-18,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=8&k_babaCode=21,data/cache/html/20220518_kawasaki_8.html
20220518_kawasaki_9,2022-05-18,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=9&k_babaCode=21,data/cache/html/20220518_kawasaki_9.html
20220518_kawasaki_10,2022-05-18,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=10&k_babaCode=21,data/cache/html/20220518_kawasaki_10.html
20220518_kawasaki_11,2022-05-18,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=11&k_babaCode=21,data/cache/html/20220518_kawasaki_11.html
20220518_kawasaki_12,2022-05-18,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F18&k_raceNo=12&k_babaCode=21,data/cache/html/20220518_kawasaki_12.html
20220519_kawasaki_1,2022-05-19,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=1&k_babaCode=21,data/cache/html/20220519_kawasaki_1.html
20220519_kawasaki_2,2022-05-19,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=2&k_babaCode=21,data/cache/html/20220519_kawasaki_2.html
20220519_kawasaki_3,2022-05-19,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=3&k_babaCode=21,data/cache/html/20220519_kawasaki_3.html
20220519_kawasaki_4,2022-05-19,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=4&k_babaCode=21,data/cache/html/20220519_kawasaki_4.html
20220519_kawasaki_5,2022-05-19,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=5&k_babaCode=21,data/cache/html/20220519_kawasaki_5.html
20220519_kawasaki_6,2022-05-19,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=6&k_babaCode=21,data/cache/html/20220519_kawasaki_6.html
20220519_kawasaki_7,2022-05-19,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=7&k_babaCode=21,data/cache/html/20220519_kawasaki_7.html
20220519_kawasaki_8,2022-05-19,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=8&k_babaCode=21,data/cache/html/20220519_kawasaki_8.html
20220519_kawasaki_9,2022-05-19,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=9&k_babaCode=21,data/cache/html/20220519_kawasaki_9.html
20220519_kawasaki_10,2022-05-19,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=10&k_babaCode=21,data/cache/html/20220519_kawasaki_10.html
20220519_kawasaki_11,2022-05-19,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=11&k_babaCode=21,data/cache/html/20220519_kawasaki_11.html
20220519_kawasaki_12,2022-05-19,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2022%2F05%2F19&k_raceNo=12&k_babaCode=21,data/cache/html/20220519_kawasaki_12.html
