race_id,date,track,race_no,official_url,cache_html_path
20080722_kawasaki_5,2008-07-22,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=5&k_babaCode=21,data/cache/html/20080722_kawasaki_5.html
20080722_kawasaki_6,2008-07-22,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=6&k_babaCode=21,data/cache/html/20080722_kawasaki_6.html
20080722_kawasaki_7,2008-07-22,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=7&k_babaCode=21,data/cache/html/20080722_kawasaki_7.html
20080722_kawasaki_8,2008-07-22,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=8&k_babaCode=21,data/cache/html/20080722_kawasaki_8.html
20080722_kawasaki_9,2008-07-22,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=9&k_babaCode=21,data/cache/html/20080722_kawasaki_9.html
20080722_kawasaki_10,2008-07-22,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=10&k_babaCode=21,data/cache/html/20080722_kawasaki_10.html
20080722_kawasaki_11,2008-07-22,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=11&k_babaCode=21,data/cache/html/20080722_kawasaki_11.html
20080722_kawasaki_12,2008-07-22,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F22&k_raceNo=12&k_babaCode=21,data/cache/html/20080722_kawasaki_12.html
20080721_kawasaki_1,2008-07-21,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=1&k_babaCode=21,data/cache/html/20080721_kawasaki_1.html
20080721_kawasaki_2,2008-07-21,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=2&k_babaCode=21,data/cache/html/20080721_kawasaki_2.html
20080721_kawasaki_3,2008-07-21,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=3&k_babaCode=21,data/cache/html/20080721_kawasaki_3.html
20080721_kawasaki_4,2008-07-21,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=4&k_babaCode=21,data/cache/html/20080721_kawasaki_4.html
20080721_kawasaki_5,2008-07-21,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=5&k_babaCode=21,data/cache/html/20080721_kawasaki_5.html
20080721_kawasaki_6,2008-07-21,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=6&k_babaCode=21,data/cache/html/20080721_kawasaki_6.html
20080721_kawasaki_7,2008-07-21,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=7&k_babaCode=21,data/cache/html/20080721_kawasaki_7.html
20080721_kawasaki_8,2008-07-21,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=8&k_babaCode=21,data/cache/html/20080721_kawasaki_8.html
20080721_kawasaki_9,2008-07-21,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=9&k_babaCode=21,data/cache/html/20080721_kawasaki_9.html
20080721_kawasaki_10,2008-07-21,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=10&k_babaCode=21,data/cache/html/20080721_kawasaki_10.html
20080721_kawasaki_11,2008-07-21,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=11&k_babaCode=21,data/cache/html/20080721_kawasaki_11.html
20080721_kawasaki_12,2008-07-21,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F21&k_raceNo=12&k_babaCode=21,data/cache/html/20080721_kawasaki_12.html
20080720_kawasaki_1,2008-07-20,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=1&k_babaCode=21,data/cache/html/20080720_kawasaki_1.html
20080720_kawasaki_2,2008-07-20,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=2&k_babaCode=21,data/cache/html/20080720_kawasaki_2.html
20080720_kawasaki_3,2008-07-20,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=3&k_babaCode=21,data/cache/html/20080720_kawasaki_3.html
20080720_kawasaki_4,2008-07-20,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=4&k_babaCode=21,data/cache/html/20080720_kawasaki_4.html
20080720_kawasaki_5,2008-07-20,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=5&k_babaCode=21,data/cache/html/20080720_kawasaki_5.html
20080720_kawasaki_6,2008-07-20,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=6&k_babaCode=21,data/cache/html/20080720_kawasaki_6.html
20080720_kawasaki_7,2008-07-20,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=7&k_babaCode=21,data/cache/html/20080720_kawasaki_7.html
20080720_kawasaki_8,2008-07-20,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=8&k_babaCode=21,data/cache/html/20080720_kawasaki_8.html
20080720_kawasaki_9,2008-07-20,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=9&k_babaCode=21,data/cache/html/20080720_kawasaki_9.html
20080720_kawasaki_10,2008-07-20,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=10&k_babaCode=21,data/cache/html/20080720_kawasaki_10.html
20080720_kawasaki_11,2008-07-20,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=11&k_babaCode=21,data/cache/html/20080720_kawasaki_11.html
20080720_kawasaki_12,2008-07-20,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F20&k_raceNo=12&k_babaCode=21,data/cache/html/20080720_kawasaki_12.html
20080719_kawasaki_1,2008-07-19,kawasaki,1,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=1&k_babaCode=21,data/cache/html/20080719_kawasaki_1.html
20080719_kawasaki_2,2008-07-19,kawasaki,2,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=2&k_babaCode=21,data/cache/html/20080719_kawasaki_2.html
20080719_kawasaki_3,2008-07-19,kawasaki,3,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=3&k_babaCode=21,data/cache/html/20080719_kawasaki_3.html
20080719_kawasaki_4,2008-07-19,kawasaki,4,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=4&k_babaCode=21,data/cache/html/20080719_kawasaki_4.html
20080719_kawasaki_5,2008-07-19,kawasaki,5,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=5&k_babaCode=21,data/cache/html/20080719_kawasaki_5.html
20080719_kawasaki_6,2008-07-19,kawasaki,6,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=6&k_babaCode=21,data/cache/html/20080719_kawasaki_6.html
20080719_kawasaki_7,2008-07-19,kawasaki,7,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=7&k_babaCode=21,data/cache/html/20080719_kawasaki_7.html
20080719_kawasaki_8,2008-07-19,kawasaki,8,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=8&k_babaCode=21,data/cache/html/20080719_kawasaki_8.html
20080719_kawasaki_9,2008-07-19,kawasaki,9,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=9&k_babaCode=21,data/cache/html/20080719_kawasaki_9.html
20080719_kawasaki_10,2008-07-19,kawasaki,10,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=10&k_babaCode=21,data/cache/html/20080719_kawasaki_10.html
20080719_kawasaki_11,2008-07-19,kawasaki,11,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=11&k_babaCode=21,data/cache/html/20080719_kawasaki_11.html
20080719_kawasaki_12,2008-07-19,kawasaki,12,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/RaceMarkTable?k_raceDate=2008%2F07%2F19&k_raceNo=12&k_babaCode=21,data/cache/html/20080719_kawasaki_12.html
